ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0036257,multivesicular body organization,10/783,33/18986,0.30303030303030304,7.347807577692636,7.569312565889995,5.247507098465488e-07,0.0001724815217826387,0.00016490344169347822,RAB27A/RAB11A/STAM2/CHMP5/PDCD6IP/CHMP4A/VPS37A/VTA1/SNF8/CHMP4C,10
GO:0035967,cellular response to topologically incorrect protein,18/783,114/18986,0.15789473684210525,3.828594474692478,6.282447204942977,9.513353681409415e-07,0.0002903611448618745,0.00027760395216202963,DNAJC10/BFAR/VAPB/PARP8/PPP1R15B/TMTC4/ABCB10/RHBDD1/CDK5RAP3/SERP1/TM7SF3/TMEM33/MBTPS2/ATXN3/DERL3/UBE2W/TMBIM4/RNF7,18
GO:0042254,ribosome biogenesis,33/783,317/18986,0.10410094637223975,2.524215284576429,5.675839588067524,1.0775540303569128e-06,0.0003069592247810059,0.00029347278539053887,RPS5/RPS3A/UTP14A/RPL35A/WDR3/RRN3/MRPS7/SRFBP1/RPL24/RPS24/PES1/DDX21/WDR12/RIOK2/TFB2M/USP36/PIH1D1/NSUN4/TRMT112/RPL26L1/RRP15/YTHDF2/RPS23/NMD3/EIF2A/RPS21/SDAD1/DHX37/GAR1/RPS12/WBP11/DDX54/GTPBP4,33
GO:0035966,response to topologically incorrect protein,21/783,160/18986,0.13125,3.1825191570881226,5.749813070777931,2.743896685518072e-06,0.0006953479954294536,0.0006647974602489831,DNAJC10/STT3B/BFAR/DNAJC3/VAPB/PARP8/ERP27/PPP1R15B/TMTC4/ABCB10/RHBDD1/CDK5RAP3/SERP1/TM7SF3/TMEM33/MBTPS2/ATXN3/DERL3/UBE2W/TMBIM4/RNF7,21
GO:0034620,cellular response to unfolded protein,16/783,99/18986,0.16161616161616163,3.9188307081027394,6.038926044142218,2.7664207634684557e-06,0.0006953479954294536,0.0006647974602489831,DNAJC10/BFAR/VAPB/PARP8/PPP1R15B/TMTC4/ABCB10/RHBDD1/CDK5RAP3/SERP1/TM7SF3/TMEM33/MBTPS2/DERL3/TMBIM4/RNF7,16
GO:0006493,protein O-linked glycosylation,16/783,100/18986,0.16,3.8796424010217114,5.988020303289939,3.169227688314825e-06,0.0007523394395649582,0.0007192849507806921,POMT1/TMTC3/GXYLT1/GCNT1/B3GALT6/TET3/TMTC4/PGM3/C1GALT1C1/GALNT7/GALNT2/B3GALNT2/TMTC2/FKRP/GALNT1/DPM3,16
GO:0071985,multivesicular body sorting pathway,11/783,49/18986,0.22448979591836735,5.443375817760054,6.45907302743046,3.7953138187050146e-06,0.0008399870147198274,0.0008030816766545505,RAB27A/STAM2/CHMP5/PDCD6IP/RAB27B/CHMP4A/VPS37A/TMEM50A/VTA1/SNF8/CHMP4C,11
GO:0036258,multivesicular body assembly,9/783,32/18986,0.28125,6.819683908045977,6.83342835046941,3.931603158061443e-06,0.0008399870147198274,0.0008030816766545505,RAB11A/STAM2/CHMP5/PDCD6IP/CHMP4A/VPS37A/VTA1/SNF8/CHMP4C,9
GO:0002181,cytoplasmic translation,21/783,165/18986,0.12727272727272726,3.086079182630906,5.581695121884558,4.504670498196271e-06,0.0009057068768574919,0.0008659140968588386,RPL23/RPS5/RPS3A/RWDD1/RPL35A/DENR/PABPC1/RPL24/RPS24/RPL22/RPL34/RPLP0/EIF3I/RPL26L1/YTHDF2/CPEB4/RPS23/RPS21/UBA52/RPS12/EIF2B3,21
GO:0016050,vesicle organization,36/783,386/18986,0.09326424870466321,2.2614495860877852,5.193041294170669,4.663129251314024e-06,0.0009057068768574919,0.0008659140968588386,ZNRF2/RAB27A/TGFBRAP1/VAPB/STX16/PPP6C/HOOK1/KIF13A/RAB11A/SNAP47/ANKRD27/STAM2/HPS6/CHMP5/VPS11/VTI1B/ZDHHC20/SNX10/KLHL12/RNF26/PDCD6IP/CHMP4A/SURF4/VPS37A/ARL8B/PRKCI/VTA1/TMED10/HPS3/SNF8/CHMP4C/TRAPPC1/EXOC8/TBC1D4/VAMP8/GOLPH3,36
GO:0006986,response to unfolded protein,19/783,143/18986,0.13286713286713286,3.221731014834463,5.530942831996561,6.763254956788292e-06,0.0012564951491459292,0.0012012902740180943,DNAJC10/STT3B/BFAR/DNAJC3/VAPB/PARP8/ERP27/PPP1R15B/TMTC4/ABCB10/RHBDD1/CDK5RAP3/SERP1/TM7SF3/TMEM33/MBTPS2/DERL3/TMBIM4/RNF7,19
GO:0022613,ribonucleoprotein complex biogenesis,42/783,492/18986,0.08536585365853659,2.069931159081706,4.986980354829608,7.2303620882912726e-06,0.0012873057168028585,0.001230747160730633,BUD13/RPS5/RPS3A/UTP14A/RPL35A/WDR3/RRN3/DENR/MRPS7/SRFBP1/SF3B5/RPL24/TGS1/RPS24/SNIP1/PES1/DDX21/WDR12/RIOK2/USP39/TFB2M/USP36/PIH1D1/NSUN4/TRMT112/EIF3I/RPL26L1/RRP15/YTHDF2/RPS23/NMD3/EIF2A/RPS21/SDAD1/DHX37/GAR1/RPS12/PRMT5/WBP11/DDX54/GTPBP4/WDR77,42
GO:0006487,protein N-linked glycosylation,13/783,74/18986,0.17567567567567569,4.259742501121812,5.827001399742529,9.226440788913393e-06,0.0015645246412712467,0.0014957863039091748,STT3B/GFPT1/UBE2J1/PGM3/ALG8/MGAT4A/MGAT1/OST4/DERL3/MAN1C1/CWH43/ALG1/DDOST,13
