ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046486,glycerolipid metabolic process,15/177,385/18986,0.03896103896103896,4.1791767554479415,6.113444494682205,3.397217488434158e-06,0.008751232250206391,0.008110409751335442,PITPNM3/PIK3R5/PLA2G4E/ABHD12/CAV3/IP6K2/FITM2/ETNK1/DGAT2/ABHD2/PANK2/PLB1/CHPT1/DAGLB/TTC7A,15
GO:0046434,organophosphate catabolic process,11/177,242/18986,0.045454545454545456,4.875706214689266,5.886219799761951,1.7485284496968396e-05,0.022521046432095293,0.02087190802059175,GIT1/PLA2G4E/ABHD12/MLXIPL/MLYCD/FITM2/ALDOB/PLB1/ENTPD7/PFKFB1/NUDT16,11
GO:0006639,acylglycerol metabolic process,8/177,135/18986,0.05925925925925926,6.356476250261561,6.058818626558506,3.9439357438202205e-05,0.026774458283100433,0.024813857218891705,ABHD12/CAV3/FITM2/DGAT2/ABHD2/PANK2/PLB1/DAGLB,8
GO:0006638,neutral lipid metabolic process,8/177,136/18986,0.058823529411764705,6.309737454303755,6.0283145483283365,4.157524578121185e-05,0.026774458283100433,0.024813857218891705,ABHD12/CAV3/FITM2/DGAT2/ABHD2/PANK2/PLB1/DAGLB,8
