Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
2,3,1,3,0.8525873751484834
2,3,0,2,0.6207170831094921
2,4,2,0,1.0
2,4,1,1,1.0
2,4,3,2,0.5679433109410673
2,4,0,3,0.47399953433696956
2,5,2,1,1.0
2,5,1,0,1.0
2,5,3,3,0.8662460902295499
2,5,0,2,-0.09935713662790122
2,6,3,0,1.0
2,6,2,2,1.0
2,6,1,3,0.8511167472999591
2,6,0,1,0.6198448608284038
2,7,3,2,1.0
2,7,2,3,1.0
2,7,1,0,1.0
2,7,0,1,-0.08817077968622856
2,8,2,2,1.0
2,8,1,1,1.0
2,8,0,3,0.7586177354092408
2,8,3,0,0.6368818832913454
2,9,2,1,1.0
2,9,1,0,0.8788931410067707
2,9,3,2,0.770578811575956
2,9,0,3,0.6892605632014805
2,10,2,1,1.0
2,10,1,0,1.0
2,10,0,3,0.7586177354092408
2,10,3,2,0.4287729196050775
2,11,3,3,1.0
2,11,2,2,1.0
2,11,1,1,0.9233740064927796
2,11,0,0,0.23516871339296316
2,12,2,2,1.0
2,12,1,1,1.0
2,12,3,0,0.5629071401200665
2,12,0,3,0.38995095586027423
2,13,2,1,1.0
2,13,1,0,1.0
2,13,0,3,0.9078641206717675
2,13,3,2,0.5861813512445674
2,14,2,0,1.0
2,14,1,3,0.8500690681117841
2,14,3,2,0.676056338028169
2,14,0,1,0.2344804582088744
2,15,2,1,1.0
2,15,1,0,1.0
2,15,0,3,0.7728126769732352
2,15,3,2,0.5614973262032086
2,16,2,0,1.0
2,16,1,1,0.8465507438734978
2,16,0,2,0.7440680212850569
2,16,3,3,0.6778990963855422
2,17,2,0,1.0
2,17,1,1,1.0
2,17,3,3,0.5284099889363048
2,17,0,2,0.4066665734251321
2,18,2,0,1.0
2,18,1,1,1.0
2,18,3,2,0.6482709616295594
2,18,0,3,0.46987926436834404
2,19,2,0,1.0
2,19,1,1,1.0
2,19,3,3,0.5831167363543903
2,19,0,2,0.18528182975911242
2,20,2,0,1.0
2,20,0,2,0.9316250535169205
2,20,1,3,0.9261436842879784
2,20,3,1,0.5342879724766377
2,21,2,1,1.0
2,21,1,2,1.0
2,21,3,0,0.5774232999215833
2,21,0,3,0.36513899323816684
2,22,2,0,1.0
2,22,1,3,0.9212513025540693
2,22,0,2,0.7810077519379846
2,22,3,1,0.7484068689297004
2,23,2,1,1.0
2,23,1,0,1.0
2,23,0,3,0.9078641206717675
2,23,3,2,0.4715249667362115
2,24,2,1,1.0
2,24,1,3,1.0
2,24,3,2,0.7308548955721577
2,24,0,0,0.6625728391065069
2,25,3,2,1.0
2,25,2,1,1.0
2,25,1,0,0.41350064976604406
3,4,2,1,1.0
3,4,1,0,1.0
3,4,0,3,0.8856428983278878
3,4,3,2,0.5369874955108063
3,5,3,3,1.0
3,5,2,2,1.0
3,5,0,1,1.0
3,5,1,0,0.7336956521739131
3,6,0,2,1.0
3,6,1,0,1.0
3,6,2,3,0.9589210830987497
3,6,3,1,0.7321604014200627
3,7,3,0,1.0
3,7,1,2,1.0
3,7,2,1,0.9602669868869206
3,7,0,3,0.8918128654970761
3,8,3,3,1.0
3,8,2,1,1.0
3,8,0,2,1.0
3,8,1,0,0.7435764585689787
3,9,0,3,1.0
3,9,1,1,1.0
3,9,2,2,0.9610010662340235
3,9,3,0,0.7084402100891658
3,10,2,0,1.0
3,10,1,1,1.0
3,10,0,3,1.0
3,10,3,2,0.8229305002213368
3,11,2,1,1.0
3,11,0,3,1.0
3,11,1,2,1.0
3,11,3,0,0.5550964808165186
3,12,3,2,1.0
3,12,2,1,1.0
3,12,0,3,0.8999644844323429
3,12,1,0,0.8758036236119229
3,13,0,3,1.0
3,13,1,1,1.0
3,13,2,0,0.9552860029838416
3,13,3,2,0.5517200680468974
3,14,0,2,1.0
3,14,2,3,0.9583347582111202
3,14,1,1,0.8714019465727894
3,14,3,0,0.8222196301048511
3,15,3,3,1.0
3,15,2,0,1.0
3,15,1,1,1.0
3,15,0,2,-0.03246571508536251
3,16,2,1,1.0
3,16,0,0,1.0
3,16,1,2,1.0
3,16,3,3,0.6168386436299574
3,17,3,0,1.0
3,17,2,1,1.0
3,17,0,2,1.0
3,17,1,3,0.8792931452187545
3,18,2,1,1.0
3,18,0,0,1.0
3,18,1,2,0.8799058337901899
3,18,3,3,0.22405601280716472
3,19,2,1,1.0
3,19,0,0,1.0
3,19,1,2,0.8758036236119229
3,19,3,3,0.27967448304759346
3,20,0,2,1.0
3,20,2,3,0.9573975969777796
3,20,1,1,0.8714019465727894
3,20,3,0,0.8222196301048511
3,21,2,2,1.0
3,21,0,1,1.0
3,21,1,0,0.8779880405982596
3,21,3,3,0.18992248428192865
3,22,0,0,1.0
3,22,1,2,1.0
3,22,2,3,0.9523334624693621
3,22,3,1,0.4452223174446067
3,23,2,0,1.0
3,23,0,3,1.0
3,23,1,1,1.0
3,23,3,2,0.49485545551212123
3,24,2,3,1.0
3,24,1,0,1.0
3,24,0,1,1.0
