Solution 1,Solution 2,Cluster 1,Cluster 2,adjusted_rand Similarity
13,14,3,1,1.0
13,14,2,2,1.0
13,14,1,3,1.0
13,14,0,0,0.814549074805177
13,15,3,2,1.0
13,15,2,3,1.0
13,15,0,1,0.9053781574220039
13,15,1,0,0.7975153217175016
13,16,3,3,1.0
13,16,2,0,1.0
13,16,1,1,1.0
13,16,0,2,0.8634712571067593
13,17,3,1,1.0
13,17,0,0,1.0
13,17,2,2,0.9460365012416729
13,17,1,3,0.8926770223925762
13,18,3,1,1.0
13,18,0,0,1.0
13,18,1,2,1.0
13,18,2,3,0.8788244159758855
13,19,3,2,1.0
13,19,2,1,1.0
13,19,0,0,1.0
13,19,1,3,0.6668678334339168
13,20,3,0,1.0
13,20,2,2,1.0
13,20,1,1,1.0
13,20,0,3,-0.09580507822108263
13,21,3,2,1.0
13,21,2,1,1.0
13,21,0,0,1.0
13,21,1,3,0.8428881313913852
13,22,3,1,1.0
13,22,2,0,1.0
13,22,1,3,1.0
13,22,0,2,0.7960497063022162
13,23,3,3,1.0
13,23,0,1,1.0
13,23,1,0,1.0
13,23,2,2,-0.05385252692626353
13,24,3,3,1.0
13,24,0,0,1.0
13,24,1,2,1.0
13,24,2,1,0.9460365012416729
13,25,3,2,1.0
13,25,0,1,1.0
13,25,1,0,0.9110692812147186
14,15,3,3,1.0
14,15,2,2,1.0
14,15,0,0,0.8203232838275116
14,15,1,1,0.3297411342589668
14,16,3,0,1.0
14,16,2,3,1.0
14,16,0,1,0.911660645088826
14,16,1,2,0.5692851967094328
14,17,2,3,1.0
14,17,1,0,1.0
14,17,0,1,1.0
14,17,3,2,0.16193709094461256
14,18,3,0,1.0
14,18,2,2,1.0
14,18,0,1,1.0
14,18,1,3,0.931147741164684
14,19,3,0,1.0
14,19,2,3,1.0
14,19,0,2,1.0
14,19,1,1,0.8799947483500224
14,20,3,0,1.0
14,20,2,1,1.0
14,20,0,3,1.0
14,20,1,2,0.9072005565647586
14,21,3,1,1.0
14,21,2,0,1.0
14,21,0,2,1.0
14,21,1,3,0.9338633899530177
14,22,3,0,1.0
14,22,2,3,1.0
14,22,0,1,1.0
14,22,1,2,0.4711390850475898
14,23,2,2,1.0
14,23,1,3,1.0
14,23,0,0,0.9106407754822831
14,23,3,1,0.9034781567989639
14,24,2,2,1.0
14,24,0,3,1.0
14,24,3,0,0.949936469664126
14,24,1,1,0.9383338274533056
14,25,3,1,1.0
14,25,2,2,1.0
14,25,0,0,0.629216150139648
15,16,3,3,1.0
15,16,2,1,1.0
15,16,0,0,0.8900959276816506
15,16,1,2,0.4242559003843589
15,17,3,3,1.0
15,17,2,2,1.0
15,17,1,1,1.0
15,17,0,0,1.0
15,18,3,2,1.0
15,18,2,1,1.0
15,18,0,0,0.9273045991659572
15,18,1,3,0.34221510276831435
15,19,3,2,1.0
15,19,2,1,1.0
15,19,0,0,0.9137201827102014
15,19,1,3,0.11231147194246938
15,20,3,3,1.0
15,20,2,0,1.0
15,20,0,1,0.7612936151857211
15,20,1,2,0.49707660291348726
15,21,3,3,1.0
15,21,2,1,1.0
15,21,1,2,1.0
15,21,0,0,0.684057262712037
15,22,3,3,1.0
15,22,2,0,1.0
15,22,0,2,0.8088021299614776
15,22,1,1,0.5881267399818626
15,23,3,2,1.0
15,23,2,1,1.0
15,23,0,3,1.0
15,23,1,0,0.9528044506510615
15,24,3,3,1.0
15,24,2,1,1.0
15,24,0,0,0.9502324564399114
15,24,1,2,0.44131433213803434
15,25,3,2,1.0
15,25,2,1,1.0
15,25,1,0,0.15738962485441682
16,17,2,1,1.0
16,17,0,3,1.0
16,17,1,0,1.0
16,17,3,2,0.9409346219724476
16,18,3,1,1.0
16,18,0,2,1.0
16,18,1,0,1.0
16,18,2,3,0.7340740381349765
16,19,3,0,1.0
16,19,0,2,1.0
16,19,2,1,0.92942975836944
16,19,1,3,0.5275990243814632
16,20,3,2,1.0
16,20,0,3,1.0
16,20,1,1,0.9276298317197421
16,20,2,0,0.38659793814432986
16,21,3,2,1.0
16,21,1,1,1.0
16,21,0,0,1.0
16,21,2,3,0.7500695023630803
16,22,3,0,1.0
16,22,0,3,1.0
16,22,1,2,0.8002629684688712
16,22,2,1,0.7571194021400668
16,23,3,3,1.0
16,23,0,0,1.0
16,23,1,1,1.0
16,23,2,2,0.5210760432111842
16,24,2,3,1.0
16,24,0,2,1.0
16,24,1,0,1.0
16,24,3,1,0.9409346219724476
16,25,3,1,1.0
16,25,2,2,1.0
16,25,0,0,0.7785088287526933
17,18,3,1,1.0
17,18,2,0,1.0
17,18,1,3,0.938108361898509
17,18,0,2,0.9030753964378221
17,19,2,2,1.0
17,19,0,1,1.0
17,19,1,0,1.0
17,19,3,3,0.6963456365257269
17,20,2,1,1.0
17,20,1,2,1.0
17,20,0,3,0.9125935437922532
17,20,3,0,0.9024345540792837
17,21,2,1,1.0
17,21,0,3,1.0
17,21,3,2,0.8846752707518771
17,21,1,0,0.8352648538639833
17,22,3,0,1.0
17,22,2,1,1.0
17,22,0,3,1.0
17,22,1,2,1.0
17,23,3,1,1.0
17,23,0,0,1.0
17,23,1,3,1.0
17,23,2,2,0.8920543924368358
17,24,3,3,1.0
17,24,2,2,1.0
17,24,1,1,1.0
17,24,0,0,0.0
17,25,3,2,1.0
17,25,2,1,1.0
17,25,0,0,1.0
18,19,3,2,1.0
18,19,2,0,1.0
18,19,0,1,1.0
18,19,1,3,0.9402014708209662
18,20,2,0,1.0
18,20,0,3,1.0
18,20,1,1,0.9565214810770066
18,20,3,2,0.10850148858749598
18,21,3,0,1.0
18,21,2,1,1.0
18,21,0,3,1.0
18,21,1,2,-0.08645439049598379
18,22,2,0,1.0
18,22,0,1,1.0
18,22,1,2,0.9415168305114378
18,22,3,3,0.4431223885553004
18,23,0,0,1.0
18,23,1,1,1.0
18,23,2,3,0.8933052047981574
18,23,3,2,0.8179797480859472
18,24,0,3,1.0
18,24,1,0,1.0
18,24,2,1,0.9466711575165601
18,24,3,2,0.931147741164684
18,25,3,2,1.0
18,25,1,1,1.0
18,25,0,0,0.8652279083691857
19,20,2,0,1.0
19,20,0,3,1.0
19,20,1,1,0.9199612382333084
19,20,3,2,0.3146889702038682
19,21,3,2,1.0
19,21,2,1,1.0
19,21,0,0,1.0
19,21,1,3,0.6811539902585239
19,22,2,0,1.0
19,22,0,1,1.0
19,22,1,2,0.891863770752786
19,22,3,3,0.5545058609587367
19,23,2,1,1.0
19,23,1,3,1.0
19,23,0,2,1.0
19,23,3,0,0.6287491562271813
19,24,2,1,1.0
19,24,0,2,1.0
19,24,1,0,1.0
19,24,3,3,0.938108361898509
19,25,2,2,1.0
19,25,1,1,1.0
19,25,0,0,0.9211762254789972
20,21,3,1,1.0
20,21,2,0,1.0
20,21,1,3,0.9338633899530177
20,21,0,2,0.9042816942663165
20,22,3,0,1.0
20,22,2,1,1.0
20,22,1,3,1.0
20,22,0,2,0.40207972270363956
20,23,2,1,1.0
20,23,0,3,1.0
20,23,1,0,0.8886132336742569
20,23,3,2,0.6481249903263524
20,24,2,2,1.0
20,24,1,1,1.0
20,24,3,0,0.9489989089876502
20,24,0,3,0.901069431271871
20,25,3,1,1.0
20,25,2,2,1.0
20,25,0,0,0.8343055228963917
21,22,1,1,1.0
21,22,0,0,1.0
21,22,2,2,0.9427812493196019
21,22,3,3,0.32382508884285727
21,23,2,1,1.0
21,23,0,3,1.0
21,23,1,0,1.0
21,23,3,2,0.8258774948382657
21,24,3,0,1.0
21,24,1,2,1.0
21,24,0,1,1.0
21,24,2,3,-0.09813976463159398
21,25,3,2,1.0
21,25,2,1,1.0
21,25,1,0,1.0
22,23,3,1,1.0
22,23,1,3,1.0
22,23,0,2,1.0
22,23,2,0,0.7960497063022162
22,24,3,0,1.0
22,24,2,3,1.0
22,24,0,2,1.0
22,24,1,1,1.0
22,25,3,2,1.0
22,25,1,1,1.0
22,25,0,0,0.6387756129486983
23,24,3,3,1.0
23,24,1,2,1.0
23,24,0,0,0.9468681100227708
23,24,2,1,0.8920543924368358
23,25,3,2,1.0
23,25,0,1,1.0
23,25,1,0,0.9110692812147186
24,25,3,2,1.0
24,25,2,1,1.0
24,25,0,0,0.6323381584238037
