1.00,0.50,0.63,0.57,0.58,0.54,0.57,0.53,0.57,0.58,0.61,0.55,0.59,0.55,0.56,0.58,0.53,0.54,0.55,0.59,0.56,0.56,0.54,0.56,0.52,0.62
0.50,1.00,0.50,0.60,0.78,0.59,0.64,0.61,0.78,0.60,0.64,0.71,0.75,0.74,0.67,0.67,0.75,0.86,0.80,0.75,0.68,0.78,0.75,0.74,0.91,0.38
0.63,0.50,1.00,0.61,0.53,0.62,0.62,0.66,0.53,0.66,0.63,0.53,0.53,0.56,0.58,0.59,0.55,0.52,0.53,0.53,0.60,0.53,0.56,0.55,0.53,0.63
0.57,0.60,0.61,1.00,0.63,0.94,0.78,0.79,0.62,0.72,0.74,0.66,0.67,0.68,0.69,0.75,0.69,0.59,0.61,0.67,0.67,0.65,0.66,0.67,0.60,0.52
0.58,0.78,0.53,0.63,1.00,0.64,0.69,0.65,0.88,0.67,0.73,0.82,0.88,0.82,0.76,0.76,0.83,0.85,0.85,0.89,0.76,0.83,0.79,0.83,0.82,0.48
0.54,0.59,0.62,0.94,0.64,1.00,0.79,0.83,0.61,0.74,0.77,0.68,0.67,0.70,0.69,0.78,0.71,0.58,0.61,0.68,0.67,0.64,0.64,0.69,0.60,0.56
0.57,0.64,0.62,0.78,0.69,0.79,1.00,0.91,0.67,0.88,0.81,0.74,0.70,0.72,0.82,0.77,0.75,0.63,0.66,0.70,0.79,0.67,0.74,0.70,0.67,0.53
0.53,0.61,0.66,0.79,0.65,0.83,0.91,1.00,0.63,0.84,0.78,0.73,0.67,0.69,0.76,0.77,0.74,0.61,0.62,0.67,0.74,0.64,0.69,0.68,0.63,0.55
0.57,0.78,0.53,0.62,0.88,0.61,0.67,0.63,1.00,0.63,0.70,0.79,0.84,0.78,0.70,0.73,0.80,0.83,0.88,0.84,0.72,0.84,0.79,0.78,0.83,0.45
0.58,0.60,0.66,0.72,0.67,0.74,0.88,0.84,0.63,1.00,0.81,0.72,0.66,0.68,0.82,0.75,0.73,0.61,0.62,0.66,0.79,0.63,0.69,0.67,0.63,0.58
0.61,0.64,0.63,0.74,0.73,0.77,0.81,0.78,0.70,0.81,1.00,0.76,0.73,0.74,0.74,0.91,0.76,0.66,0.67,0.74,0.73,0.69,0.70,0.74,0.67,0.53
0.55,0.71,0.53,0.66,0.82,0.68,0.74,0.73,0.79,0.72,0.76,1.00,0.82,0.82,0.79,0.79,0.84,0.75,0.77,0.82,0.76,0.78,0.78,0.82,0.74,0.47
0.59,0.75,0.53,0.67,0.88,0.67,0.70,0.67,0.84,0.66,0.73,0.82,1.00,0.90,0.75,0.76,0.83,0.79,0.84,0.99,0.75,0.92,0.75,0.86,0.77,0.47
0.55,0.74,0.56,0.68,0.82,0.70,0.72,0.69,0.78,0.68,0.74,0.82,0.90,1.00,0.77,0.78,0.90,0.77,0.81,0.90,0.78,0.89,0.77,0.94,0.75,0.54
0.56,0.67,0.58,0.69,0.76,0.69,0.82,0.76,0.70,0.82,0.74,0.79,0.75,0.77,1.00,0.73,0.79,0.70,0.70,0.75,0.96,0.72,0.79,0.76,0.69,0.55
0.58,0.67,0.59,0.75,0.76,0.78,0.77,0.77,0.73,0.75,0.91,0.79,0.76,0.78,0.73,1.00,0.80,0.68,0.70,0.77,0.72,0.72,0.70,0.78,0.69,0.52
0.53,0.75,0.55,0.69,0.83,0.71,0.75,0.74,0.80,0.73,0.76,0.84,0.83,0.90,0.79,0.80,1.00,0.78,0.79,0.83,0.78,0.82,0.79,0.88,0.77,0.52
0.54,0.86,0.52,0.59,0.85,0.58,0.63,0.61,0.83,0.61,0.66,0.75,0.79,0.77,0.70,0.68,0.78,1.00,0.85,0.79,0.73,0.82,0.75,0.79,0.94,0.43
0.55,0.80,0.53,0.61,0.85,0.61,0.66,0.62,0.88,0.62,0.67,0.77,0.84,0.81,0.70,0.70,0.79,0.85,1.00,0.84,0.73,0.86,0.77,0.81,0.84,0.45
0.59,0.75,0.53,0.67,0.89,0.68,0.70,0.67,0.84,0.66,0.74,0.82,0.99,0.90,0.75,0.77,0.83,0.79,0.84,1.00,0.76,0.92,0.75,0.87,0.77,0.47
0.56,0.68,0.60,0.67,0.76,0.67,0.79,0.74,0.72,0.79,0.73,0.76,0.75,0.78,0.96,0.72,0.78,0.73,0.73,0.76,1.00,0.73,0.80,0.76,0.71,0.53
0.56,0.78,0.53,0.65,0.83,0.64,0.67,0.64,0.84,0.63,0.69,0.78,0.92,0.89,0.72,0.72,0.82,0.82,0.86,0.92,0.73,1.00,0.75,0.84,0.80,0.46
0.54,0.75,0.56,0.66,0.79,0.64,0.74,0.69,0.79,0.69,0.70,0.78,0.75,0.77,0.79,0.70,0.79,0.75,0.77,0.75,0.80,0.75,1.00,0.78,0.77,0.46
0.56,0.74,0.55,0.67,0.83,0.69,0.70,0.68,0.78,0.67,0.74,0.82,0.86,0.94,0.76,0.78,0.88,0.79,0.81,0.87,0.76,0.84,0.78,1.00,0.76,0.53
0.52,0.91,0.53,0.60,0.82,0.60,0.67,0.63,0.83,0.63,0.67,0.74,0.77,0.75,0.69,0.69,0.77,0.94,0.84,0.77,0.71,0.80,0.77,0.76,1.00,0.40
0.62,0.38,0.63,0.52,0.48,0.56,0.53,0.55,0.45,0.58,0.53,0.47,0.47,0.54,0.55,0.52,0.52,0.43,0.45,0.47,0.53,0.46,0.46,0.53,0.40,1.00
