Solution 1,Solution 2,Cluster 1,Cluster 2,Similarity,Metric
1,8,2,1,1.0,adjusted_rand
1,8,1,0,0.8572617724394913,adjusted_rand
1,8,0,2,0.5722129022418789,adjusted_rand
1,9,3,3,1.0,adjusted_rand
1,9,0,2,0.9525798830768871,adjusted_rand
1,9,1,0,0.9333154537269401,adjusted_rand
1,9,2,1,0.5208479421759533,adjusted_rand
1,10,3,3,1.0,adjusted_rand
1,10,0,0,1.0,adjusted_rand
1,10,1,2,0.9296947271045328,adjusted_rand
1,10,2,1,0.43353210771545,adjusted_rand
1,11,3,3,1.0,adjusted_rand
1,11,0,1,1.0,adjusted_rand
1,11,1,0,0.9493671686168222,adjusted_rand
1,11,2,2,0.5638595735515831,adjusted_rand
1,12,3,3,1.0,adjusted_rand
1,12,2,2,1.0,adjusted_rand
1,12,0,1,1.0,adjusted_rand
1,12,1,0,0.9506172839506173,adjusted_rand
1,13,3,3,1.0,adjusted_rand
1,13,2,1,1.0,adjusted_rand
1,13,0,0,1.0,adjusted_rand
1,13,1,2,0.9069715310468505,adjusted_rand
1,14,3,0,1.0,adjusted_rand
1,14,2,2,1.0,adjusted_rand
1,14,0,3,0.949936469664126,adjusted_rand
1,14,1,1,0.947364532929487,adjusted_rand
1,15,3,3,1.0,adjusted_rand
1,15,1,2,1.0,adjusted_rand
1,15,0,0,0.9502324564399114,adjusted_rand
1,15,2,1,0.43353210771545,adjusted_rand
1,16,3,0,1.0,adjusted_rand
1,16,0,1,1.0,adjusted_rand
1,16,1,3,0.9493671686168222,adjusted_rand
1,16,2,2,0.7406810860561436,adjusted_rand
1,17,3,2,1.0,adjusted_rand
1,17,2,1,1.0,adjusted_rand
1,17,1,0,1.0,adjusted_rand
1,17,0,3,0.3829006078324861,adjusted_rand
1,18,3,3,1.0,adjusted_rand
1,18,2,1,1.0,adjusted_rand
1,18,1,0,1.0,adjusted_rand
1,18,0,2,0.5680583342642713,adjusted_rand
1,19,3,3,1.0,adjusted_rand
1,19,2,0,1.0,adjusted_rand
1,19,0,1,1.0,adjusted_rand
1,19,1,2,0.9506172839506173,adjusted_rand
1,20,3,2,1.0,adjusted_rand
1,20,2,0,1.0,adjusted_rand
1,20,1,1,1.0,adjusted_rand
1,20,0,3,0.9489989089876502,adjusted_rand
1,21,3,3,1.0,adjusted_rand
1,21,2,1,1.0,adjusted_rand
1,21,0,2,1.0,adjusted_rand
1,21,1,0,0.9523743682984328,adjusted_rand
1,22,3,2,1.0,adjusted_rand
1,22,2,0,1.0,adjusted_rand
1,22,0,3,1.0,adjusted_rand
1,22,1,1,1.0,adjusted_rand
1,23,3,3,1.0,adjusted_rand
1,23,2,1,1.0,adjusted_rand
1,23,0,0,0.9468681100227708,adjusted_rand
1,23,1,2,0.8605438850711637,adjusted_rand
1,24,3,0,1.0,adjusted_rand
1,24,2,1,1.0,adjusted_rand
1,24,0,2,1.0,adjusted_rand
1,24,1,3,0.4874738951061761,adjusted_rand
1,25,3,2,1.0,adjusted_rand
1,25,2,1,1.0,adjusted_rand
1,25,0,0,0.6323381584238037,adjusted_rand
2,3,2,1,1.0,adjusted_rand
2,3,3,0,0.8946680003077633,adjusted_rand
2,3,1,3,0.8525873751484834,adjusted_rand
2,3,0,2,0.6207170831094921,adjusted_rand
2,4,2,0,1.0,adjusted_rand
2,4,1,1,1.0,adjusted_rand
2,4,3,2,0.5679433109410673,adjusted_rand
2,4,0,3,0.47399953433696956,adjusted_rand
2,5,2,1,1.0,adjusted_rand
2,5,1,0,1.0,adjusted_rand
2,5,3,3,0.8662460902295499,adjusted_rand
2,5,0,2,-0.09935713662790122,adjusted_rand
2,6,3,0,1.0,adjusted_rand
2,6,2,2,1.0,adjusted_rand
2,6,1,3,0.8511167472999591,adjusted_rand
2,6,0,1,0.6198448608284038,adjusted_rand
2,7,3,2,1.0,adjusted_rand
2,7,2,3,1.0,adjusted_rand
2,7,1,0,1.0,adjusted_rand
2,7,0,1,-0.08817077968622856,adjusted_rand
2,8,2,2,1.0,adjusted_rand
2,8,1,1,1.0,adjusted_rand
2,8,0,3,0.7586177354092408,adjusted_rand
2,8,3,0,0.6368818832913454,adjusted_rand
2,9,2,1,1.0,adjusted_rand
2,9,1,0,0.8788931410067707,adjusted_rand
2,9,3,2,0.770578811575956,adjusted_rand
2,9,0,3,0.6892605632014805,adjusted_rand
2,10,2,1,1.0,adjusted_rand
2,10,1,0,1.0,adjusted_rand
2,10,0,3,0.7586177354092408,adjusted_rand
2,10,3,2,0.4287729196050775,adjusted_rand
2,11,3,3,1.0,adjusted_rand
2,11,2,2,1.0,adjusted_rand
2,11,1,1,0.9233740064927796,adjusted_rand
2,11,0,0,0.23516871339296316,adjusted_rand
2,12,2,2,1.0,adjusted_rand
2,12,1,1,1.0,adjusted_rand
2,12,3,0,0.5629071401200665,adjusted_rand
2,12,0,3,0.38995095586027423,adjusted_rand
2,13,2,1,1.0,adjusted_rand
2,13,1,0,1.0,adjusted_rand
2,13,0,3,0.9078641206717675,adjusted_rand
2,13,3,2,0.5861813512445674,adjusted_rand
2,14,2,0,1.0,adjusted_rand
2,14,1,3,0.8500690681117841,adjusted_rand
2,14,3,2,0.676056338028169,adjusted_rand
2,14,0,1,0.2344804582088744,adjusted_rand
2,15,2,1,1.0,adjusted_rand
2,15,1,0,1.0,adjusted_rand
2,15,0,3,0.7728126769732352,adjusted_rand
2,15,3,2,0.5614973262032086,adjusted_rand
2,16,2,0,1.0,adjusted_rand
2,16,1,1,0.8465507438734978,adjusted_rand
2,16,0,2,0.7440680212850569,adjusted_rand
2,16,3,3,0.6778990963855422,adjusted_rand
2,17,2,0,1.0,adjusted_rand
2,17,1,1,1.0,adjusted_rand
2,17,3,3,0.5284099889363048,adjusted_rand
2,17,0,2,0.4066665734251321,adjusted_rand
2,18,2,0,1.0,adjusted_rand
2,18,1,1,1.0,adjusted_rand
2,18,3,2,0.6482709616295594,adjusted_rand
2,18,0,3,0.46987926436834404,adjusted_rand
2,19,2,0,1.0,adjusted_rand
2,19,1,1,1.0,adjusted_rand
2,19,3,3,0.5831167363543903,adjusted_rand
2,19,0,2,0.18528182975911242,adjusted_rand
2,20,2,0,1.0,adjusted_rand
2,20,0,2,0.9316250535169205,adjusted_rand
2,20,1,3,0.9261436842879784,adjusted_rand
2,20,3,1,0.5342879724766377,adjusted_rand
2,21,2,1,1.0,adjusted_rand
2,21,1,2,1.0,adjusted_rand
2,21,3,0,0.5774232999215833,adjusted_rand
2,21,0,3,0.36513899323816684,adjusted_rand
2,22,2,0,1.0,adjusted_rand
2,22,1,3,0.9212513025540693,adjusted_rand
2,22,0,2,0.7810077519379846,adjusted_rand
2,22,3,1,0.7484068689297004,adjusted_rand
2,23,2,1,1.0,adjusted_rand
2,23,1,0,1.0,adjusted_rand
2,23,0,3,0.9078641206717675,adjusted_rand
2,23,3,2,0.4715249667362115,adjusted_rand
2,24,2,1,1.0,adjusted_rand
2,24,1,3,1.0,adjusted_rand
2,24,3,2,0.7308548955721577,adjusted_rand
2,24,0,0,0.6625728391065069,adjusted_rand
2,25,3,2,1.0,adjusted_rand
2,25,2,1,1.0,adjusted_rand
2,25,1,0,0.41350064976604406,adjusted_rand
3,4,2,1,1.0,adjusted_rand
3,4,1,0,1.0,adjusted_rand
3,4,0,3,0.8856428983278878,adjusted_rand
3,4,3,2,0.5369874955108063,adjusted_rand
3,5,3,3,1.0,adjusted_rand
3,5,2,2,1.0,adjusted_rand
3,5,0,1,1.0,adjusted_rand
3,5,1,0,0.7336956521739131,adjusted_rand
3,6,0,2,1.0,adjusted_rand
3,6,1,0,1.0,adjusted_rand
3,6,2,3,0.9589210830987497,adjusted_rand
3,6,3,1,0.7321604014200627,adjusted_rand
3,7,3,0,1.0,adjusted_rand
3,7,1,2,1.0,adjusted_rand
3,7,2,1,0.9602669868869206,adjusted_rand
3,7,0,3,0.8918128654970761,adjusted_rand
3,8,3,3,1.0,adjusted_rand
3,8,2,1,1.0,adjusted_rand
3,8,0,2,1.0,adjusted_rand
3,8,1,0,0.7435764585689787,adjusted_rand
3,9,0,3,1.0,adjusted_rand
3,9,1,1,1.0,adjusted_rand
3,9,2,2,0.9610010662340235,adjusted_rand
3,9,3,0,0.7084402100891658,adjusted_rand
3,10,2,0,1.0,adjusted_rand
3,10,1,1,1.0,adjusted_rand
3,10,0,3,1.0,adjusted_rand
3,10,3,2,0.8229305002213368,adjusted_rand
3,11,2,1,1.0,adjusted_rand
3,11,0,3,1.0,adjusted_rand
3,11,1,2,1.0,adjusted_rand
3,11,3,0,0.5550964808165186,adjusted_rand
3,12,3,2,1.0,adjusted_rand
3,12,2,1,1.0,adjusted_rand
3,12,0,3,0.8999644844323429,adjusted_rand
3,12,1,0,0.8758036236119229,adjusted_rand
3,13,0,3,1.0,adjusted_rand
3,13,1,1,1.0,adjusted_rand
3,13,2,0,0.9552860029838416,adjusted_rand
3,13,3,2,0.5517200680468974,adjusted_rand
3,14,0,2,1.0,adjusted_rand
3,14,2,3,0.9583347582111202,adjusted_rand
3,14,1,1,0.8714019465727894,adjusted_rand
3,14,3,0,0.8222196301048511,adjusted_rand
3,15,3,3,1.0,adjusted_rand
3,15,2,0,1.0,adjusted_rand
3,15,1,1,1.0,adjusted_rand
3,15,0,2,-0.03246571508536251,adjusted_rand
3,16,2,1,1.0,adjusted_rand
3,16,0,0,1.0,adjusted_rand
3,16,1,2,1.0,adjusted_rand
3,16,3,3,0.6168386436299574,adjusted_rand
3,17,3,0,1.0,adjusted_rand
3,17,2,1,1.0,adjusted_rand
3,17,0,2,1.0,adjusted_rand
3,17,1,3,0.8792931452187545,adjusted_rand
3,18,2,1,1.0,adjusted_rand
3,18,0,0,1.0,adjusted_rand
3,18,1,2,0.8799058337901899,adjusted_rand
3,18,3,3,0.22405601280716472,adjusted_rand
3,19,2,1,1.0,adjusted_rand
3,19,0,0,1.0,adjusted_rand
3,19,1,2,0.8758036236119229,adjusted_rand
3,19,3,3,0.27967448304759346,adjusted_rand
3,20,0,2,1.0,adjusted_rand
3,20,2,3,0.9573975969777796,adjusted_rand
3,20,1,1,0.8714019465727894,adjusted_rand
3,20,3,0,0.8222196301048511,adjusted_rand
3,21,2,2,1.0,adjusted_rand
3,21,0,1,1.0,adjusted_rand
3,21,1,0,0.8779880405982596,adjusted_rand
3,21,3,3,0.18992248428192865,adjusted_rand
3,22,0,0,1.0,adjusted_rand
3,22,1,2,1.0,adjusted_rand
3,22,2,3,0.9523334624693621,adjusted_rand
3,22,3,1,0.4452223174446067,adjusted_rand
3,23,2,0,1.0,adjusted_rand
3,23,0,3,1.0,adjusted_rand
3,23,1,1,1.0,adjusted_rand
3,23,3,2,0.49485545551212123,adjusted_rand
3,24,2,3,1.0,adjusted_rand
3,24,1,0,1.0,adjusted_rand
3,24,0,1,1.0,adjusted_rand
3,24,3,2,0.4799304338011307,adjusted_rand
3,25,3,2,1.0,adjusted_rand
3,25,1,1,1.0,adjusted_rand
3,25,2,0,0.34026116797646827,adjusted_rand
4,5,3,3,1.0,adjusted_rand
4,5,0,0,1.0,adjusted_rand
4,5,1,1,1.0,adjusted_rand
4,5,2,2,0.5522800249973266,adjusted_rand
4,6,0,0,1.0,adjusted_rand
4,6,1,1,0.9492916908051734,adjusted_rand
4,6,2,2,0.7324801053669965,adjusted_rand
4,6,3,3,0.5645167311025198,adjusted_rand
4,7,0,0,1.0,adjusted_rand
4,7,1,2,1.0,adjusted_rand
4,7,2,1,0.5726329228161697,adjusted_rand
4,7,3,3,0.5484384906764643,adjusted_rand
4,8,3,1,1.0,adjusted_rand
4,8,0,0,1.0,adjusted_rand
4,8,1,3,1.0,adjusted_rand
4,8,2,2,0.9379164783492485,adjusted_rand
4,9,2,3,1.0,adjusted_rand
4,9,0,2,1.0,adjusted_rand
4,9,1,1,1.0,adjusted_rand
4,9,3,0,0.8051474213588403,adjusted_rand
4,10,3,2,1.0,adjusted_rand
4,10,2,3,1.0,adjusted_rand
4,10,1,1,1.0,adjusted_rand
4,10,0,0,1.0,adjusted_rand
4,11,3,3,1.0,adjusted_rand
4,11,0,1,1.0,adjusted_rand
4,11,1,2,1.0,adjusted_rand
4,11,2,0,-0.11236929600539675,adjusted_rand
4,12,3,2,1.0,adjusted_rand
4,12,2,3,1.0,adjusted_rand
4,12,0,0,1.0,adjusted_rand
4,12,1,1,-0.06716417910447751,adjusted_rand
4,13,2,1,1.0,adjusted_rand
4,13,0,0,1.0,adjusted_rand
4,13,1,3,1.0,adjusted_rand
4,13,3,2,0.6791675588592171,adjusted_rand
4,14,3,2,1.0,adjusted_rand
4,14,0,3,1.0,adjusted_rand
4,14,1,0,1.0,adjusted_rand
4,14,2,1,-0.0947588100896418,adjusted_rand
4,15,3,2,1.0,adjusted_rand
4,15,2,3,1.0,adjusted_rand
4,15,1,1,1.0,adjusted_rand
4,15,0,0,0.9037432407886096,adjusted_rand
4,16,2,0,1.0,adjusted_rand
4,16,0,1,1.0,adjusted_rand
4,16,1,2,1.0,adjusted_rand
4,16,3,3,0.6537073681759982,adjusted_rand
