1.00,0.61,0.65,0.61,0.68,0.70,0.68,0.67,0.65,0.65,0.65,0.70,0.69,0.79,0.62,0.61,0.69,0.67,0.67,0.67,0.73,0.72,0.59,0.61,0.70,0.71,0.68,0.61,0.72,0.71,0.70,0.69,0.73,0.74,0.67,0.68,0.73,0.61,0.61,0.78,0.71,0.61,0.79,0.73,0.71,0.68,0.71,0.72,0.72,0.73,0.61,0.62,0.66,0.67,0.79,0.69,0.70,0.69,0.70,0.79,0.67,0.67,0.67,0.66,0.68,0.68,0.67,0.70,0.68,0.68,0.70,0.61,0.67,0.65,0.73,0.61,0.68,0.68,0.61,0.61,0.68,0.68,0.68,0.68,0.68,0.67,0.66,0.66,0.61,0.67,0.67,0.61,0.61,0.68,0.68,0.68,0.67,0.68,0.67,0.67,0.67,0.67,0.61,0.61,0.68,0.68,0.68,0.61,0.61,0.68,0.67,0.67,0.70,0.66,0.68,0.67,0.26
0.61,1.00,0.85,0.78,0.69,0.69,0.69,0.83,0.79,0.79,0.85,0.67,0.69,0.65,0.83,0.90,0.69,0.83,0.82,0.83,0.64,0.64,0.81,1.00,0.67,0.67,0.67,0.80,0.65,0.66,0.69,0.74,0.63,0.61,0.72,0.71,0.64,0.90,0.89,0.62,0.66,0.89,0.65,0.64,0.66,0.69,0.66,0.64,0.65,0.62,0.78,0.80,0.77,0.78,0.65,0.74,0.69,0.67,0.69,0.63,0.77,0.82,0.75,0.76,0.67,0.71,0.75,0.67,0.67,0.67,0.67,0.80,0.82,0.80,0.62,0.80,0.71,0.67,0.89,0.89,0.71,0.71,0.67,0.67,0.68,0.78,0.76,0.77,0.90,0.77,0.78,0.89,0.89,0.67,0.67,0.68,0.77,0.71,0.82,0.77,0.77,0.77,0.89,0.89,0.71,0.71,0.71,1.00,1.00,0.71,0.78,0.77,0.69,0.77,0.67,0.77,0.28
0.65,0.85,1.00,0.76,0.73,0.73,0.73,0.92,0.91,0.91,1.00,0.71,0.73,0.68,0.82,0.86,0.73,0.91,0.90,0.91,0.68,0.68,0.81,0.85,0.71,0.70,0.72,0.79,0.69,0.69,0.73,0.80,0.66,0.65,0.77,0.77,0.69,0.86,0.85,0.66,0.69,0.85,0.68,0.69,0.69,0.73,0.69,0.68,0.69,0.65,0.76,0.82,0.83,0.85,0.68,0.80,0.73,0.71,0.73,0.67,0.84,0.90,0.80,0.83,0.71,0.77,0.80,0.71,0.72,0.71,0.71,0.79,0.90,0.91,0.65,0.79,0.77,0.71,0.85,0.85,0.77,0.77,0.72,0.72,0.73,0.85,0.83,0.83,0.86,0.84,0.85,0.85,0.85,0.72,0.72,0.73,0.84,0.77,0.90,0.84,0.84,0.84,0.85,0.85,0.77,0.77,0.77,0.85,0.85,0.77,0.85,0.84,0.73,0.83,0.72,0.84,0.28
0.61,0.78,0.76,1.00,0.67,0.66,0.65,0.76,0.75,0.75,0.76,0.67,0.68,0.64,0.89,0.79,0.68,0.76,0.75,0.76,0.64,0.65,0.78,0.78,0.66,0.65,0.66,0.90,0.65,0.64,0.66,0.72,0.63,0.63,0.68,0.67,0.65,0.79,0.80,0.64,0.65,0.80,0.64,0.65,0.64,0.65,0.64,0.65,0.65,0.62,1.00,0.77,0.74,0.74,0.64,0.72,0.66,0.64,0.66,0.64,0.75,0.75,0.69,0.73,0.66,0.67,0.69,0.66,0.66,0.66,0.67,0.90,0.75,0.75,0.62,0.90,0.67,0.66,0.80,0.80,0.67,0.67,0.66,0.66,0.65,0.74,0.73,0.74,0.79,0.75,0.74,0.80,0.80,0.66,0.66,0.65,0.75,0.67,0.75,0.75,0.75,0.75,0.80,0.80,0.67,0.67,0.67,0.78,0.78,0.67,0.74,0.75,0.66,0.74,0.66,0.75,0.29
0.68,0.69,0.73,0.67,1.00,0.76,0.76,0.76,0.75,0.75,0.73,0.76,0.85,0.72,0.69,0.68,0.85,0.76,0.78,0.76,0.72,0.72,0.68,0.69,0.75,0.78,0.74,0.68,0.73,0.73,0.73,0.75,0.71,0.68,0.80,0.75,0.75,0.68,0.70,0.70,0.73,0.70,0.72,0.75,0.73,0.76,0.73,0.72,0.73,0.69,0.67,0.72,0.77,0.79,0.72,0.75,0.76,0.75,0.73,0.71,0.77,0.78,0.80,0.77,0.76,0.75,0.80,0.75,0.74,0.76,0.76,0.68,0.78,0.74,0.69,0.68,0.75,0.76,0.70,0.70,0.75,0.75,0.74,0.74,0.76,0.79,0.77,0.77,0.68,0.77,0.79,0.70,0.70,0.74,0.74,0.76,0.77,0.74,0.78,0.77,0.77,0.77,0.70,0.70,0.75,0.74,0.75,0.69,0.69,0.75,0.79,0.77,0.73,0.77,0.74,0.77,0.30
0.70,0.69,0.73,0.66,0.76,1.00,0.80,0.75,0.73,0.73,0.73,0.75,0.78,0.73,0.67,0.67,0.78,0.74,0.77,0.74,0.74,0.76,0.68,0.69,0.75,0.79,0.74,0.66,0.77,0.75,0.77,0.75,0.73,0.71,0.77,0.80,0.74,0.67,0.68,0.72,0.75,0.68,0.73,0.74,0.75,0.79,0.75,0.76,0.77,0.72,0.66,0.71,0.74,0.76,0.73,0.75,1.00,0.84,0.77,0.73,0.75,0.77,0.77,0.74,0.72,0.80,0.77,0.75,0.73,0.72,0.75,0.66,0.77,0.73,0.72,0.66,0.80,0.72,0.68,0.68,0.80,0.80,0.73,0.73,0.80,0.76,0.74,0.74,0.67,0.75,0.76,0.68,0.68,0.74,0.73,0.79,0.75,0.80,0.77,0.75,0.75,0.75,0.68,0.68,0.80,0.80,0.80,0.69,0.69,0.80,0.77,0.75,0.77,0.74,0.74,0.75,0.27
0.68,0.69,0.73,0.65,0.76,0.80,1.00,0.75,0.73,0.73,0.73,0.74,0.76,0.73,0.67,0.66,0.76,0.74,0.76,0.74,0.72,0.71,0.67,0.69,0.74,0.78,0.76,0.66,0.73,0.75,0.80,0.75,0.70,0.68,0.87,0.86,0.73,0.66,0.67,0.69,0.75,0.67,0.73,0.73,0.75,1.00,0.75,0.71,0.73,0.68,0.65,0.70,0.74,0.79,0.73,0.75,0.80,0.89,0.80,0.71,0.74,0.76,0.83,0.74,0.77,0.86,0.83,0.74,0.76,0.77,0.74,0.66,0.76,0.73,0.68,0.66,0.86,0.77,0.67,0.67,0.86,0.86,0.76,0.76,1.00,0.79,0.74,0.74,0.66,0.74,0.79,0.67,0.67,0.76,0.76,1.00,0.74,0.86,0.76,0.74,0.74,0.74,0.67,0.67,0.86,0.86,0.86,0.69,0.69,0.86,0.79,0.74,0.80,0.74,0.76,0.74,0.29
0.67,0.83,0.92,0.76,0.76,0.75,0.75,1.00,0.85,0.85,0.92,0.74,0.76,0.71,0.82,0.84,0.76,0.95,0.94,0.95,0.70,0.71,0.78,0.83,0.74,0.72,0.74,0.79,0.71,0.73,0.75,0.82,0.68,0.67,0.80,0.79,0.71,0.85,0.84,0.68,0.72,0.84,0.70,0.71,0.72,0.75,0.73,0.70,0.71,0.67,0.76,0.82,0.88,0.88,0.70,0.82,0.75,0.74,0.75,0.68,0.88,0.94,0.83,0.88,0.73,0.79,0.83,0.74,0.74,0.73,0.74,0.79,0.94,0.86,0.67,0.79,0.79,0.73,0.84,0.84,0.79,0.78,0.74,0.74,0.75,0.88,0.88,0.88,0.84,0.88,0.88,0.84,0.84,0.74,0.74,0.75,0.87,0.79,0.94,0.87,0.88,0.87,0.84,0.84,0.79,0.79,0.79,0.83,0.83,0.79,0.88,0.87,0.75,0.88,0.74,0.87,0.27
0.65,0.79,0.91,0.75,0.75,0.73,0.73,0.85,1.00,1.00,0.91,0.73,0.75,0.70,0.79,0.81,0.75,0.84,0.84,0.84,0.69,0.69,0.86,0.79,0.73,0.72,0.73,0.79,0.69,0.69,0.73,0.80,0.67,0.65,0.76,0.76,0.70,0.81,0.80,0.66,0.70,0.80,0.70,0.70,0.70,0.73,0.69,0.69,0.69,0.65,0.75,0.83,0.86,0.85,0.70,0.80,0.73,0.72,0.73,0.68,0.91,0.84,0.76,0.86,0.71,0.76,0.76,0.73,0.73,0.71,0.73,0.79,0.84,0.99,0.65,0.79,0.76,0.71,0.80,0.80,0.76,0.76,0.73,0.73,0.73,0.85,0.86,0.86,0.81,0.91,0.85,0.80,0.80,0.73,0.73,0.73,0.91,0.76,0.84,0.91,0.91,0.91,0.80,0.80,0.76,0.76,0.76,0.79,0.80,0.76,0.85,0.91,0.73,0.86,0.73,0.91,0.29
0.65,0.79,0.91,0.75,0.75,0.73,0.73,0.85,1.00,1.00,0.91,0.73,0.75,0.70,0.79,0.81,0.75,0.84,0.84,0.84,0.69,0.69,0.86,0.79,0.73,0.72,0.73,0.79,0.69,0.69,0.73,0.80,0.67,0.65,0.76,0.76,0.70,0.81,0.80,0.66,0.70,0.80,0.70,0.70,0.70,0.73,0.69,0.69,0.69,0.65,0.75,0.83,0.86,0.85,0.70,0.80,0.73,0.72,0.73,0.68,0.91,0.84,0.76,0.86,0.71,0.76,0.76,0.73,0.73,0.71,0.73,0.79,0.84,0.99,0.65,0.79,0.76,0.71,0.80,0.80,0.76,0.76,0.73,0.73,0.73,0.85,0.86,0.86,0.81,0.91,0.85,0.80,0.80,0.73,0.73,0.73,0.91,0.76,0.84,0.91,0.91,0.91,0.80,0.80,0.76,0.76,0.76,0.79,0.80,0.76,0.85,0.91,0.73,0.86,0.73,0.91,0.29
0.65,0.85,1.00,0.76,0.73,0.73,0.73,0.92,0.91,0.91,1.00,0.71,0.73,0.68,0.82,0.86,0.73,0.91,0.90,0.91,0.68,0.68,0.81,0.85,0.71,0.70,0.72,0.79,0.69,0.68,0.73,0.80,0.66,0.65,0.77,0.77,0.69,0.86,0.85,0.66,0.69,0.85,0.68,0.69,0.69,0.73,0.68,0.68,0.69,0.65,0.76,0.82,0.84,0.85,0.68,0.80,0.73,0.71,0.73,0.67,0.84,0.90,0.80,0.83,0.71,0.77,0.80,0.71,0.72,0.71,0.71,0.79,0.90,0.91,0.65,0.79,0.77,0.71,0.85,0.85,0.77,0.77,0.72,0.72,0.73,0.85,0.83,0.84,0.86,0.84,0.85,0.85,0.85,0.72,0.72,0.73,0.84,0.77,0.90,0.84,0.84,0.84,0.85,0.85,0.77,0.77,0.77,0.85,0.85,0.77,0.85,0.84,0.73,0.84,0.72,0.84,0.28
0.70,0.67,0.71,0.67,0.76,0.75,0.74,0.74,0.73,0.73,0.71,1.00,0.82,0.78,0.69,0.66,0.83,0.73,0.75,0.73,0.90,0.82,0.67,0.67,0.91,0.82,0.86,0.69,0.82,0.78,0.73,0.72,0.77,0.72,0.73,0.75,0.85,0.66,0.69,0.74,0.77,0.69,0.77,0.85,0.77,0.74,0.78,0.82,0.82,0.78,0.67,0.69,0.73,0.73,0.77,0.72,0.75,0.76,0.73,0.76,0.74,0.75,0.74,0.73,0.87,0.75,0.74,0.91,0.86,0.87,1.00,0.69,0.75,0.73,0.78,0.69,0.75,0.87,0.69,0.69,0.75,0.74,0.86,0.86,0.74,0.73,0.73,0.73,0.66,0.74,0.73,0.69,0.69,0.86,0.86,0.74,0.74,0.75,0.75,0.74,0.74,0.74,0.69,0.69,0.75,0.74,0.75,0.67,0.67,0.75,0.73,0.74,0.73,0.73,0.86,0.74,0.29
