ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,41/707,467/18986,0.08779443254817987,2.357659259349,5.842238085199754,3.566115711351678e-07,0.001596193392401011,0.0015424388903098995,FBXL12/TRIM39/ZER1/KLHL18/KLHL22/ARRB1/CSNK2A2/UBE2A/NSFL1C/FBXO31/FBXL22/RMND5B/SPOP/RFFL/PSMD7/HECTD3/ASB1/KCTD5/USP9X/KLHL20/FBXW8/PSMD13/ANAPC1/TRIM9/CUL5/KCTD13/DVL1/RNF216/AGAP3/FBXL16/RNF34/SHARPIN/ZYG11B/RNF126/PSMA8/TRIM2/CSNK1E/STUB1/RNF122/UBR4/NPLOC4,41
GO:0030198,extracellular matrix organization,29/707,339/18986,0.0855457227138643,2.2972716993570406,4.739855465466641,2.97302637622833e-05,0.037058263106655866,0.03581026365299114,ADAMTS6/LAMA1/ADAMTS2/BMP2/MMP2/COL11A2/ADAMTS10/COL12A1/ADAMTSL5/COL4A2/MMP24/SMOC2/IBSP/SMAD3/COL5A3/ADAMTS7/KIF9/TGFBI/MMP16/MMP25/GFOD2/COL8A2/ADAMTSL1/COL27A1/THSD4/PAPLN/COL17A1/COL13A1/ADAMTS14,29
GO:0043062,extracellular structure organization,29/707,340/18986,0.08529411764705883,2.2905150178883438,4.72224453466977,3.138238284030418e-05,0.037058263106655866,0.03581026365299114,ADAMTS6/LAMA1/ADAMTS2/BMP2/MMP2/COL11A2/ADAMTS10/COL12A1/ADAMTSL5/COL4A2/MMP24/SMOC2/IBSP/SMAD3/COL5A3/ADAMTS7/KIF9/TGFBI/MMP16/MMP25/GFOD2/COL8A2/ADAMTSL1/COL27A1/THSD4/PAPLN/COL17A1/COL13A1/ADAMTS14,29
GO:0045229,external encapsulating structure organization,29/707,341/18986,0.08504398826979472,2.283797965049961,4.704694956114847,3.311730393803026e-05,0.037058263106655866,0.03581026365299114,ADAMTS6/LAMA1/ADAMTS2/BMP2/MMP2/COL11A2/ADAMTS10/COL12A1/ADAMTSL5/COL4A2/MMP24/SMOC2/IBSP/SMAD3/COL5A3/ADAMTS7/KIF9/TGFBI/MMP16/MMP25/GFOD2/COL8A2/ADAMTSL1/COL27A1/THSD4/PAPLN/COL17A1/COL13A1/ADAMTS14,29
