ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,33/211,467/18986,0.07066381156316917,6.3584034423617535,12.429156007002033,1.9124874523697437e-17,4.710456595186679e-14,4.443010323557921e-14,FBXL22/RMND5B/RNF216/FBXL12/NSFL1C/ANAPC5/TRIM2/CSNK2A2/KCTD5/KLHL20/CUL5/ZER1/SPOP/ASB1/KCTD13/KLHL22/FBXL16/PSMA8/PSMD7/KLHL18/HECTD3/PSMD13/FBXW8/RNF122/UBR4/UBE2A/ZYG11B/ANAPC1/RNF126/FBXO31/AGAP3/TRIM9/TRIM39,33
GO:0043603,amide metabolic process,18/211,472/18986,0.038135593220338986,3.4314804401959997,5.670850594908264,5.8761630510198405e-06,0.006703206725078767,0.006322617792699892,NANP/ACE/ABCA7/HLCS/ACSBG2/PSENEN/ALDOB/HAL/NAT8B/SGMS2/TECR/XPNPEP1/CLN6/ST6GALNAC4/PLA2G4E/DGAT2/ASAH1/PCSK7,18
GO:0000209,protein polyubiquitination,13/211,263/18986,0.049429657794676805,4.4477321463968424,5.968706576427393,8.164685414225051e-06,0.006703206725078767,0.006322617792699892,RNF216/ANAPC5/TRIM2/KLHL20/CUL5/SPOP/UBR4/HUWE1/UBE2A/TMEM129/UBE3B/ANAPC1/RNF126,13
GO:0070979,protein K11-linked ubiquitination,5/211,39/18986,0.1282051282051282,11.536031109490825,6.982254519082748,6.844179451595847e-05,0.042143034973201425,0.03975027381492641,ANAPC5/CUL5/UBR4/UBE2A/ANAPC1,5
