ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0120255,olefinic compound biosynthetic process,4/90,66/21198,0.06060606060606061,14.274747474747475,7.052820760741924,0.00017908467784428367,0.0016546775306507282,0.0011552268188098635,ACO4/ATCHS/ATPAL2/ATPAL1,4
GO:0009612,response to mechanical stimulus,3/90,26/21198,0.11538461538461539,27.176923076923078,8.72085850144906,0.0001792769213296543,0.0016546775306507282,0.0011552268188098635,ATCAL4/AtCML24/AtXTH22,3
GO:0008652,amino acid biosynthetic process,6/90,196/21198,0.030612244897959183,7.210204081632654,5.703461218028612,0.00018914961944892429,0.001722522534448204,0.001202593369970003,AMT1/ATR4/ATTSB1/TRP3/ASB1/ATGSL1,6
GO:0009644,response to high light intensity,4/90,68/21198,0.058823529411764705,13.854901960784314,6.932795479355292,0.00020105511228765645,0.001806850548585123,0.0012614676712785094,ATFKBP62/ACT2/AtLEA14/MSP-1,4
GO:0031537,regulation of anthocyanin metabolic process,3/90,28/21198,0.10714285714285714,25.235714285714288,8.379330541945407,0.00022450578270865777,0.0019913954492209516,0.0013903092216954473,PR-5/ATCHS/AtCOMT,3
GO:0046686,response to cadmium ion,4/90,77/21198,0.05194805194805195,12.235497835497835,6.4493412423633325,0.00032452597392536097,0.0028416825665515586,0.001983944213065972,ATFSD1/PR-5/ATGSL1/ARAKIN,4
GO:0009682,induced systemic resistance,3/90,32/21198,0.09375,22.08125,7.792680377034934,0.00033576335388015244,0.0029028654519005583,0.002026659551068742,ATR4/ATNPR1/ATERF-4,3
GO:0010102,lateral root morphogenesis,4/90,78/21198,0.05128205128205128,12.078632478632478,6.400610677284422,0.0003409656643528158,0.0029109943594121646,0.0020323348151556,ICK1/AMT1/ASB1/ATLOX1,4
GO:0010101,post-embryonic root morphogenesis,4/90,79/21198,0.05063291139240506,11.925738396624471,6.352761924769912,0.0003579933227992711,0.0030186350552086683,0.00210748505819454,ICK1/AMT1/ASB1/ATLOX1,4
GO:0009718,anthocyanin-containing compound biosynthetic process,3/90,33/21198,0.09090909090909091,21.412121212121214,7.66250699558798,0.0003682082831963271,0.0030299549087119443,0.0021153881076466222,PR-5/ATRNS1/ATCHS,3
GO:0010193,response to ozone,3/90,33/21198,0.09090909090909091,21.412121212121214,7.66250699558798,0.0003682082831963271,0.0030299549087119443,0.0021153881076466222,ATFSD1/AtSOD1/AT0ZI1,3
GO:0034599,cellular response to oxidative stress,4/90,81/21198,0.04938271604938271,11.63127572016461,6.259601601564606,0.0003938609868671928,0.0032024649289320558,0.0022358274066521097,ATFSD1/AtSOD1/ATNDK1/APX1,4
GO:0034614,cellular response to reactive oxygen species,3/90,34/21198,0.08823529411764706,20.782352941176473,7.537953254367553,0.00040260446262244706,0.003235045270248604,0.002258573641708589,ATFSD1/AtSOD1/ATNDK1,3
GO:0009813,flavonoid biosynthetic process,4/90,83/21198,0.04819277108433735,11.351004016064257,6.169655181880565,0.00043222627421103346,0.0034326807591411146,0.002396554494707444,PR-5/ATRNS1/ATCHS/AtCOMT,4
GO:1902221,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,3/90,37/21198,0.08108108108108109,19.0972972972973,7.194181680800675,0.0005179798157042056,0.004066439242827269,0.0028390182276346663,ATPAL2/AIG2/AAS,3
