ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0032784,regulation of DNA-templated transcription elongation,8/202,100/18986,0.08,7.51920792079208,6.778159519632775,1.1514672418065927e-05,0.02587346892339414,0.02477472676055448,MED16/TCEA2/SETD5/RECQL5/INTS1/CDK9/INTS6/LDB1,8
GO:0009952,anterior/posterior pattern specification,11/202,220/18986,0.05,4.69950495049505,5.723425615756641,2.4706488640561868e-05,0.027757739987671257,0.026578980411214977,PCGF2/BASP1/TBX3/MESP2/RNF2/BPTF/HIPK2/HEY1/SSBP3/LDB1/FOXH1,11
GO:0008380,RNA splicing,16/202,484/18986,0.03305785123966942,3.107110711071107,4.869536695933012,6.418467237169431e-05,0.04259522305012122,0.04078637524392654,CELF5/PUS1/PRPF6/RBM12/AKAP8L/ZMAT5/CCNL2/THRAP3/RBM41/LSM2/U2AF1/TXNL4A/TIA1/CELF4/SRRM2/FUS,16
GO:0006352,DNA-templated transcription initiation,10/202,209/18986,0.04784688995215311,4.497133923918708,5.271803931934723,8.375044621164806e-05,0.04259522305012122,0.04078637524392654,MED16/RRN3P2/SMARCA4/ARID1B/GTF2A2/TFB1M/CDK9/BRF1/NOC2L/BRD7,10
GO:0006354,DNA-templated transcription elongation,8/202,134/18986,0.05970149253731343,5.611349194620955,5.555058537329757,9.478242779288212e-05,0.04259522305012122,0.04078637524392654,MED16/TCEA2/SETD5/RECQL5/INTS1/CDK9/INTS6/LDB1,8
